date,ticker,price,action,co_executed,outfit,outfit_text,timeframe,post_id
2026-03-04,DOG,23.23,purchased,SDOW,,urchase at 23.23 operating from the 365 outfit / MA183 / MA23 / MA46 / MA91 / MA365 / MA730,,2029220663207281084
2026-03-04,DOG,,,,,,,2029221782620914021
2026-03-04,,,,,,,,2029222104185618825
2026-03-04,DOG,23.23,,,,,,2029225895911931997
2026-03-04,DOG,23.23,,,,,,2029226069497397343
2026-03-04,DOG,23.23,,,,,,2029229921739129138
2026-03-04,DOG,23.23,hold,,,MA183,,2029238757841616924
2026-03-04,DOG,23.23,purchased,SDOW,,enced at 23.23 with banks using the 366 outfit / MA183,9m,2029239441743856012
2026-03-04,DOG,,purchased,SDOW,,,,2029295057241817527
2026-03-04,DOG,,,,,,,2029297846860824966
2026-03-04,DOG,,,,,,,2029297920269533385
2026-03-04,DOG,,,,,,,2029301062306545849
2026-03-04,DOG,,hold,,,,,2029318023623159870
2026-03-05,DOG,23.23,purchased,,,,,2029571289036525615
2026-03-05,DOG,,,SDOW,,,,2029571571934011845
2026-03-05,PLTZ,26.37,purchased,,,PLTZ . Palantir's SMA outfit / MA150,1h,2029574742622286142
2026-03-05,PLTZ,,,,,,,2029575006469177444
2026-03-05,PLTZ,,,,,,,2029575806473965635
2026-03-05,DOG,,,,,,,2029579022003577315
2026-03-05,DOG,,,,,,,2029580365023879233
2026-03-05,PLTZ,,,,,,,2029581948201660857
2026-03-05,PLTZ,,,,,,,2029589304692154713
2026-03-05,DOG,,purchased,SDOW,,,,2029612638842536030
2026-03-05,PLTZ,,purchased,,,,,2029616027009700058
2026-03-05,SPXU,,purchased,"DOG, SDOW, PLTZ",,,,2029617140995870978
2026-03-06,DOG,23.23,purchased,SDOW,,,,2029947955340542102
2026-03-06,SPXU,,,,,,,2029948907279765601
2026-03-09,SPXU,,purchased,"DOG, SDOW",,,,2030802917356400762
2026-03-12,DOG,23.22,hold,SDOW,,366 outfit / MA183 / [366 Outfit Korea’s 9M at PARM:MA183 [coexecuted SDOW],9m,2032106086929744074
2026-03-12,SPXU,48.78,,,,,,2032112351613460771
2026-03-13,SPXU,48.78,,,,,,2032547318797578643
2026-03-13,SPXU,48.78,purchased,,,on the 30m 180 outfit,30m,2032552315274895660
2026-03-18,,,,,,,,2034304470096757001
2026-03-18,SPXU,48.78,,,,,,2034323806081499483
2026-03-18,ORCX,9.43,purchased,,,Long ORCL ETF. 15M 33 66 99 333 666 999 outfit / MA333,15m,2034332362222473419
2026-03-18,ORCX,9.43,,,,,,2034333800625504326
2026-03-19,ORCX,,,,,,,2034623555258945624
2026-03-19,TQQQ,,purchased,IXIC,,TQQQ. IXIC at 21853. MA884 outfit / MA884 / MA28 / MA55 / MA111 / MA221 / MA442,,2034628973720973528
2026-03-19,IXIC,,,,,,,2034629667727269923
2026-03-19,TSLR,23.98,purchased,"TSLQ, TSLA",,2x Short TSLA Daily ETF. Dual Sequence outfit / MA39 / MA78 / MA156 / MA311 / MA622 / MA944,2h,2034633160542327106
2026-03-19,TSLQ,23.98,,,,,,2034633867580313825
2026-03-19,TSLQ,23.98,,,,,,2034637427680407735
2026-03-19,IXIC,,,,,,,2034639072279613941
2026-03-19,TSLQ,23.98,,,,,,2034686793053086058
2026-03-19,IXIC,,,,,,,2034692995594035401
2026-03-19,TQQQ,,purchased,,,,,2034708701723185642
2026-03-19,IXIC,,,,,,,2034721576567152989
2026-03-20,TQQQ,,purchased,IXIC,,MA884 / MA28 / MA55 / MA111 / MA221 / MA442,2h,2035014402731393235
2026-03-20,IXIC,,,,,MA884,2h,2035014685079347210
2026-03-20,IXIC,,,,,MA884,2h,2035017100344140052
2026-03-20,IXIC,,purchased,,,MA884,,2035025592819884324
2026-03-20,AAPU,26.73,purchased,AAPL,,MA31 / MA61 / MA122 / MA244 / MA466 / MA668,,2035045580561686895
2026-03-20,IXIC,,,,,,,2035068419922698641
2026-03-20,IXIC,26.73,hold,"AAPU, AAPL",,[AAPU Direxion AAPL Bull 2X Shares. 1D MA31 MA61 MA122 MA244 MA466 MA668 1D MA244 at 26.73.] / MA31 / MA61 / MA122 / MA244 / MA466 / MA668,,2035069180983353516
2026-03-20,IXIC,,hold,,,,,2035085169041011019
2026-03-20,AAPL,246.00,purchased,AAPU,,dual sequencing program with the SMA outfit,,2035088719519391782
2026-03-20,AAPL,246.00,purchased,AAPU,,,,2035090043472318538
2026-03-20,AAPL,246.00,cut,,,,,2035090070886371528
2026-03-20,AMDL,,,SMH,,,,2035092231527571485
2026-03-20,SPXU,,purchased,,,,,2035093264630784074
2026-03-20,DOG,,sold,,,,,2035094418043412753
2026-03-20,SPXU,48.78,sold,,,,,2035126272624640348
2026-03-20,AAPL,,purchased,"AAPU, IXIC, TQQQ",,,,2035128247651115300
2026-03-20,IXIC,246.00,purchased,"AAPU, AAPL",,,,2035132151348490697
2026-03-20,USO,,purchased,,,,,2035136326794969092
2026-03-23,TQQQ,,purchased,,,,,2036116170127052828
2026-03-24,AAPL,246.00,,AAPU,,,,2036449671770677421
2026-03-24,AAPL,246.00,,AAPU,,,,2036450170691592236
2026-03-25,AAPU,246.00,,AAPL,,,,2036798265585537134
2026-03-25,AAPL,246.00,,AAPU,,,,2036799020254015661
2026-03-25,IXIC,246.00,purchased,TQQQ,,,,2036799949506310485
2026-03-25,SMR,11.71,purchased,,,Octane outfit / MA102,20m,2036809380738535705
2026-03-25,SMR,11.71,,,,,,2036810694721773812
2026-03-25,SMR,11.71,purchased,,,,,2036812310266970543
2026-03-25,SMR,11.71,,,,,,2036816367727644858
2026-03-25,SMR,11.71,,,,,,2036820589596536979
2026-03-25,SMR,11.52,purchased,,,SMR. 3M 818 Octane outfit / MA102,3m,2036825512644059237
2026-03-25,SMR,11.52,,,,,,2036825616612508045
2026-03-25,SMR,11.52,,,,MA102,3m,2036825785147986183
2026-03-25,SMR,11.52,purchased,,,erating on a real time and threaded SMA outfit / MA102,,2036826336933933369
2026-03-25,SMR,11.52,,,,,,2036826676869619756
2026-03-25,SMR,11.52,,,,,,2036827938558185556
2026-03-25,SMR,11.52,,,,,,2036828581561815213
2026-03-25,SMR,,,,,,,2036830028890263696
2026-03-25,MSTX,24.37,purchased,,,MA143,2m,2036832388723159480
2026-03-25,MSTX,24.37,,MSTR,,MA19 / MA37 / MA73 / MA143 / MA279 / MA548,2m,2036833013410201685
2026-03-25,MSTX,24.37,,,,,,2036833889919148193
2026-03-25,MSTX,24.37,,,,,,2036835338099044701
2026-03-25,MSTX,24.36,purchased,,,MA143,15m,2036835954493985224
2026-03-25,MSTX,24.36,,,,,,2036836094499750389
2026-03-25,MSTX,24.36,,,,MA143,15m,2036836488240054462
2026-03-25,MSTX,24.28,cut,,,Octane outfit / MA409,1m,2036839363250929715
2026-03-25,MSTX,24.28,,MSTR,,MA409,1m,2036839561733833169
2026-03-25,MSTX,24.28,,"SMR, MSTR",,,3m,2036840264434905391
2026-03-25,MSTX,24.28,,,,,,2036842014650843488
2026-03-25,MSTX,24.20,purchased,MSTR,,MA26 / MA51 / MA102 / MA205 / MA409 / MA818,30m,2036869498402398693
2026-03-25,MSTX,24.20,,,,,,2036869847246921820
2026-03-25,MSTX,24.20,,,,,,2036870396755272176
2026-03-25,MSTX,,hold,,,positioning on MSTX here. This 30M 818 outfit,30m,2036873535873048741
2026-03-25,MSTR,,purchased,MSTX,,quity higher for profit. For over 5 SMA outfit,,2036874851299021005
2026-03-25,MSTX,,hold,,,,,2036876017189679561
2026-03-25,SCO,8.26,purchased,,,MA205,,2036884600547647878
2026-03-25,SCO,8.26,,,,,,2036884734266269748
2026-03-25,SCO,8.26,,,,SCO at 8.26. 10M 818 outfit / MA205,10m,2036885220667060475
2026-03-25,SMR,11.52,,,,,,2036886785721331974
2026-03-25,SCO,8.26,,,,,,2036891044110098718
2026-03-25,DRN,8.16,purchased,,,t of trading divisions using the Octane outfit,,2036893690229383415
2026-03-25,MSTX,,hold,,,,,2036894930678014282
2026-03-27,UPRO,92.10,purchased,"AAPL, AAPU",,MA468,,2037544193728581677
2026-03-27,UPRO,92.10,,,,,,2037544305779450017
2026-03-27,TSLL,92.10,purchased,UPRO,,1st integer of 420 outfit,,2037545902492319989
2026-03-27,TSLL,11.53,,,,,,2037553301991178744
2026-03-27,TSLL,11.53,,,,,,2037560903865147693
2026-03-27,FAS,92.10,purchased,UPRO,,,,2037563694050345236
2026-03-27,FAS,108.92,,,,,,2037563827181736152
2026-03-27,UPRO,92.10,,,,,,2037567629167366561
2026-03-27,DOG,24.93,purchased,"UDOW, NVDA, AAPL",,Octuple and NVDA/AAPL Area Code outfit / MA26 / MA51 / MA102 / MA204 / MA408 / MA816,4h,2037574620338094354
2026-03-27,UDOW,24.93,purchased,DOG,,,,2037575134006149219
2026-03-27,UDOW,,,,,,,2037577250292564144
2026-03-27,DOG,24.93,,,,,,2037581439580111056
2026-03-27,DOG,,,,,,,2037582281611923902
2026-03-27,MYY,17.65,cut,,,MYY at 17.65 . Palantir outfit / MA22 / MA55 / MA77 / MA220 / MA550 / MA770,2h,2037599878944346435
2026-03-27,UMDD,17.65,purchased,MYY,,[Short: MYY at 2H MA550 at 17.65] / MA550,2h,2037600851070771414
2026-03-27,UMDD,,,,,,,2037601779547001298
2026-03-27,UMDD,,,,,,,2037605602860699813
2026-03-27,UMDD,,,,,,,2037618195495023006
2026-03-31,IXIC,,hold,,,,,2039076289769050555
2026-04-01,UMDD,,,,,,,2039405396633473274
2026-04-06,SSO,53.34,cut,,,om the flash higher on Putin's 2000 SMA outfit / MA500,15m,2041182549331030396
2026-04-06,SSO,53.34,,,,,,2041182737688830428
2026-04-06,SSO,53.34,,,,,,2041187714662576389
2026-04-06,SPXU,53.34,purchased,SSO,,,,2041190149082792243
2026-04-06,SPXU,,,,,,,2041190645810008082
2026-04-06,SSO,53.34,,,,,,2041193924543615408
2026-04-06,SSO,53.34,,,,,,2041197104283209817
2026-04-06,SSO,53.34,,,,,,2041200121422209358
2026-04-06,SPXU,,,,,,,2041201064603742308
2026-04-06,SSO,53.34,,,,,,2041202701267288493
2026-04-06,SPXU,,,,,,,2041203193334645104
2026-04-06,SSO,53.34,,,,,,2041215716930793629
2026-04-06,SSO,53.34,,,,,,2041244638447915121
2026-04-07,SSO,53.34,,,,,,2041511299134472655
2026-04-07,SPXU,,purchased,,,,,2041511990670327959
2026-04-07,SPXU,,purchased,,,,,2041516921842278726
2026-04-07,SSO,53.34,,,,,,2041517589474730322
2026-04-07,SSO,53.34,,,,,,2041519045535768750
2026-04-07,SSO,53.34,,,,,,2041533813671764359
2026-04-07,SPXU,,,,,,,2041534277935149424
2026-04-07,,,,,,,,2041581946376221167
2026-04-07,SSO,53.34,,,,,,2041593970703396964
2026-04-07,,,,,,,,2041596982767296923
2026-04-08,IXIC,,hold,,,,,2041886482408108236
2026-04-08,UMDD,,,,,,,2041886968259473458
2026-04-08,ERX,86.13,purchased,"NVDA, AAPL",,Octople and NVDA/AAPL Area outfit / MA26 / MA51 / MA102 / MA204 / MA408 / MA816,2h,2041890351473181169
2026-04-08,ERX,86.13,,,,,,2041890508453376451
2026-04-08,ERX,101.25,,"NVDA, AAPL",,Octople and NVDA/AAPL Area outfit / MA26 / MA51 / MA102 / MA204 / MA408 / MA816,5m,2041891420806770805
2026-04-08,ERX,86.13,,,,,,2041893229176791472
2026-04-08,ERX,86.13,,,,,,2041901884420813058
2026-04-08,ERX,,,,,,,2041903753012605291
2026-04-08,YANG,27.33,purchased,,,MA22 / MA55 / MA77 / MA222 / MA555 / MA777,30m,2041908256264876131
2026-04-08,YANG,27.33,,,,,,2041908376289038359
2026-04-08,YANG,27.33,,,,,,2041909942735794328
2026-04-08,ERX,86.13,,,,,,2041913198979510275
2026-04-08,YANG,27.33,,,,,,2041921397149331902
2026-04-08,YANG,27.33,,,,,,2041924825158185089
2026-04-08,YANG,27.33,,,,,,2041931593158422980
2026-04-08,YANG,27.33,,,,,,2041941282831134796
2026-04-08,YANG,27.33,,,,,,2041944042196627866
2026-04-08,ERX,86.13,,,,,,2041962503694119191
2026-04-09,ERX,,cut,,,,,2042259852341506330
2026-04-09,ERX,86.13,,,,,,2042322287068922346
2026-04-09,YANG,27.33,,,,,,2042323619356033251
2026-04-12,,,,,,,,2043417341107859960
2026-04-13,,,,,,,,2043486620171874330
2026-04-13,TSLZ,16.21,purchased,,,,5m,2043713380821995634
2026-04-13,TSLZ,16.21,,,,,,2043713536531276006
